ADC_pan_value, ADC_tilt_value, Button_value, Encoder_tilt_value, Encoder_pan_value, Tilt_Velocity
2048, 4095, 0, 76, 314, 248
2048, 4095, 0, 75, 314, 248
2048, 4095, 0, 75, 314, 239
2048, 4095, 0, 76, 314, 239
2048, 4095, 0, 77, 314, 248
2048, 4095, 0, 78, 314, 0
2048, 4095, 0, 80, 314, 8
2048, 4095, 0, 82, 314, 35
2048, 4095, 0, 87, 314, 52
2048, 4095, 0, 93, 314, 97
2048, 4095, 0, 99, 314, 149
2048, 4095, 0, 101, 314, 202
2048, 4095, 0, 108, 314, 229
2048, 4095, 0, 115, 314, 35
2048, 4095, 0, 122, 314, 87
2048, 4095, 0, 131, 314, 140
2048, 4095, 0, 146, 314, 211
2048, 4095, 0, 154, 314, 70
2048, 4095, 0, 166, 314, 122
2048, 4095, 0, 172, 314, 184
2048, 4095, 0, 186, 314, 184
2048, 4095, 0, 191, 314, 255
2048, 4095, 0, 198, 314, 25
2048, 4095, 0, 204, 314, 25
2048, 4095, 0, 213, 314, 16
2048, 4095, 0, 225, 314, 34
2048, 4095, 0, 235, 314, 60
2048, 4095, 0, 240, 314, 16
2048, 4095, 0, 248, 314, 246
2048, 4095, 0, 267, 314, 211
2048, 4095, 0, 279, 314, 69
2048, 4095, 0, 286, 314, 52
2048, 4095, 0, 305, 314, 69
2048, 4095, 0, 311, 314, 175
2048, 4095, 0, 322, 314, 175
2048, 4095, 0, 328, 314, 193
2048, 4095, 0, 334, 314, 140
2048, 4095, 0, 337, 314, 105
2048, 4095, 0, 343, 314, 87
2048, 4095, 0, 345, 314, 69
2048, 4095, 0, 348, 314, 175
2048, 4095, 0, 351, 314, 96
2048, 4095, 0, 353, 314, 61
2048, 4095, 0, 354, 314, 167
2048, 4095, 0, 356, 314, 123
2048, 4095, 0, 357, 314, 43
2048, 4095, 0, 359, 314, 255
2048, 4095, 0, 0, 314, 220
2048, 4095, 0, 2, 314, 54
2048, 4095, 0, 5, 314, 19
2048, 4095, 0, 10, 314, 27
2048, 4095, 0, 15, 314, 45
2048, 4095, 0, 20, 314, 63
2048, 4095, 0, 27, 314, 89
2048, 4095, 0, 34, 314, 142
2048, 4095, 0, 42, 314, 186
2048, 4095, 0, 45, 314, 248
2048, 4095, 0, 56, 314, 1
2048, 4095, 0, 56, 314, 237
2048, 4095, 0, 69, 314, 220
2048, 4095, 0, 79, 314, 52
2048, 4095, 0, 86, 314, 96
2048, 4095, 0, 89, 314, 114
2048, 4095, 0, 106, 314, 96
2048, 4095, 0, 119, 314, 184
2048, 4095, 0, 127, 314, 237
2048, 4095, 0, 134, 314, 237
2048, 4095, 0, 143, 314, 16
2048, 4095, 0, 155, 314, 255
